"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price","URL"
"65","The Four Agreements","","don Miguel Ruiz","Peter Coyote",151,2005-01-27,"English",4.5,30801,14.95,"https://www.audible.com/pd/The-Four-Agreements-Audiobook/B002VA3GJO?ref=a_adblbests_c3_lProduct_4_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9S2CYRSFHA8AN8NY4447"
"66","Long Time Coming","Reckoning with Race in America","Michael Eric Dyson","Michael Eric Dyson",286,2020-12-01,"English",5,9,20.29,"https://www.audible.com/pd/Long-Time-Coming-Audiobook/1250808421?ref=a_adblbests_c3_lProduct_4_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9S2CYRSFHA8AN8NY4447"
"67","Deacon King Kong","A Novel","James McBride","Dominic Hoffman",845,2020-03-03,"English",4.5,1735,31.5,"https://www.audible.com/pd/Deacon-King-Kong-Audiobook/0593166981?ref=a_adblbests_c3_lProduct_4_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9S2CYRSFHA8AN8NY4447"
"68","The Body Keeps the Score","Brain, Mind, and Body in the Healing of Trauma","Bessel Van der Kolk MD","Sean Pratt",977,2014-09-25,"English",5,10861,24.49,"https://www.audible.com/pd/The-Body-Keeps-the-Score-Audiobook/B00OAOQJXY?ref=a_adblbests_c3_lProduct_4_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9S2CYRSFHA8AN8NY4447"
"69","American Dirt (Oprah's Book Club)","A Novel","Jeanine Cummins","Yareli Arizmendi",1003,2020-01-21,"English",4.5,18036,27.99,"https://www.audible.com/pd/American-Dirt-Oprahs-Book-Club-Audiobook/1250260604?ref=a_adblbests_c3_lProduct_4_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9S2CYRSFHA8AN8NY4447"
"70","48 Laws of Power","","Robert Greene","Richard Poe",1386,2015-05-01,"English",4.5,14791,24.49,"https://www.audible.com/pd/48-Laws-of-Power-Audiobook/B00WYDJ2YQ?ref=a_adblbests_c3_lProduct_4_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9S2CYRSFHA8AN8NY4447"
"71","Life After Death","","Sister Souljah","",660,2021-03-02,"English",NA,NA,27.99,"https://www.audible.com/pd/Life-After-Death-Audiobook/1797119206?ref=a_adblbests_c3_lProduct_4_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9S2CYRSFHA8AN8NY4447"
"72","The Best of Me","","David Sedaris","David Sedaris",788,2020-11-03,"English",4.5,418,30.79,"https://www.audible.com/pd/The-Best-of-Me-Audiobook/1549160761?ref=a_adblbests_c3_lProduct_4_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9S2CYRSFHA8AN8NY4447"
"73","The Ickabog","","J.K. Rowling","Stephen Fry",472,2020-11-10,"English",4.5,730,24.99,"https://www.audible.com/pd/The-Ickabog-Audiobook/B08D9T16JZ?ref=a_adblbests_c3_lProduct_4_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9S2CYRSFHA8AN8NY4447"
"74","The Return","","Nicholas Sparks","Kyf Brewer",596,2020-09-29,"English",4.5,3271,30.79,"https://www.audible.com/pd/The-Return-Audiobook/1478992670?ref=a_adblbests_c3_lProduct_4_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9S2CYRSFHA8AN8NY4447"
