"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price","URL"
"79","The Giver of Stars","A Novel","Jojo Moyes","Julia Whelan","13 hrs and 52 mins","10-08-19","English","4.5 out of 5 stars","33,434 ratings","$31.50","https://www.audible.com/pd/The-Giver-of-Stars-Audiobook/0525530207?ref=a_adblbests_c3_lProduct_4_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=X93PY71DMNM2DBG61T4A"
"80","The Body Keeps the Score","Brain, Mind, and Body in the Healing of Trauma","Bessel Van der Kolk MD","Sean Pratt","16 hrs and 17 mins","09-25-14","English","5 out of 5 stars","10,672 ratings","$24.49","https://www.audible.com/pd/The-Body-Keeps-the-Score-Audiobook/B00OAOQJXY?ref=a_adblbests_c3_lProduct_4_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=X93PY71DMNM2DBG61T4A"
"81","The Stand",NA,"Stephen King","Grover Gardner","47 hrs and 47 mins","02-14-12","English","4.5 out of 5 stars","51,015 ratings","$63.00","https://www.audible.com/pd/The-Stand-Audiobook/B0077DEH7A?ref=a_adblbests_c3_lProduct_5_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"82","The Dutch House","A Novel","Ann Patchett","Tom Hanks","9 hrs and 53 mins","09-24-19","English","4.5 out of 5 stars","36,544 ratings","$30.79","https://www.audible.com/pd/The-Dutch-House-Audiobook/0062963708?ref=a_adblbests_c3_lProduct_5_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"83","Rage",NA,"Bob Woodward","Robert Petkoff","13 hrs and 22 mins","09-15-20","English","5 out of 5 stars","7,796 ratings","$27.99","https://www.audible.com/pd/Rage-Audiobook/1797113046?ref=a_adblbests_c3_lProduct_5_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"84","Troubled Blood","A Cormoran Strike Novel, Book 5","Robert Galbraith","Robert Glenister","31 hrs and 52 mins","09-15-20","English","5 out of 5 stars","3,999 ratings","$30.79","https://www.audible.com/pd/Troubled-Blood-Audiobook/1549157736?ref=a_adblbests_c3_lProduct_5_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"85","The Alchemist","A Fable About Following Your Dream","Paulo Coelho","Jeremy Irons","4 hrs","12-26-04","English","4.5 out of 5 stars","55,435 ratings","$23.95","https://www.audible.com/pd/The-Alchemist-Audiobook/B002V0Q4LG?ref=a_adblbests_c3_lProduct_5_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"86","The Power of Now","A Guide to Spiritual Enlightenment","Eckhart Tolle","Eckhart Tolle","7 hrs and 37 mins","12-31-00","English","4.5 out of 5 stars","27,826 ratings","$20.00","https://www.audible.com/pd/The-Power-of-Now-Audiobook/B002V0PN36?ref=a_adblbests_c3_lProduct_5_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"87","First Principles","What America's Founders Learned from the Greeks and Romans and How That Shaped Our Country","Thomas E. Ricks","James Lurie","11 hrs and 56 mins","11-10-20","English","5 out of 5 stars","5 ratings","$30.79","https://www.audible.com/pd/First-Principles-Audiobook/0062997483?ref=a_adblbests_c3_lProduct_5_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"88","Incomparable",NA,"Brie Bella, Nikki Bella","Jayme Mattler, Lisa Flanagan, Brie Bella, Nikki Bella","6 hrs and 17 mins","05-05-20","English","5 out of 5 stars","1,402 ratings","$17.00","https://www.audible.com/pd/Incomparable-Audiobook/1797112821?ref=a_adblbests_c3_lProduct_5_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"89","The Audacity of Hope","Thoughts on Reclaiming the American Dream","Barack Obama","Barack Obama","6 hrs and 10 mins","09-25-06","English","4.5 out of 5 stars","7,905 ratings","$23.93","https://www.audible.com/pd/The-Audacity-of-Hope-Audiobook/B002UZYUNQ?ref=a_adblbests_c3_lProduct_5_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"90","Anxiety in Relationship","How to Overcome Anxiety, Jealousy, Negative Thinking and Manage Insecurity and Attachment. Learn How to Eliminate Couple Conflicts to Establish Better Relationships","Melanie White","Kate Keating","5 hrs and 13 mins","05-30-20","English","4.5 out of 5 stars","68 ratings","$19.95","https://www.audible.com/pd/Anxiety-in-Relationship-Audiobook/B0899WQ8B8?ref=a_adblbests_c3_lProduct_5_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"91","Disloyal: A Memoir","The True Story of the Former Personal Attorney to President Donald J. Trump","Michael Cohen","Robert Petkoff","11 hrs and 50 mins","09-08-20","English","5 out of 5 stars","5,249 ratings","$24.95","https://www.audible.com/pd/Disloyal-A-Memoir-Audiobook/B08HNG2KC7?ref=a_adblbests_c3_lProduct_5_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"92","Didn't See That Coming","Putting Life Back Together When Your World Falls Apart","Rachel Hollis","Rachel Hollis","4 hrs and 58 mins","09-29-20","English","4.5 out of 5 stars","1,819 ratings","$20.52","https://www.audible.com/pd/Didnt-See-That-Coming-Audiobook/0063010550?ref=a_adblbests_c3_lProduct_5_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"93","How to Be an Antiracist",NA,"Ibram X. Kendi","Ibram X. Kendi","10 hrs and 43 mins","08-13-19","English","5 out of 5 stars","9,258 ratings","$28.00","https://www.audible.com/pd/How-to-Be-an-Antiracist-Audiobook/1984832212?ref=a_adblbests_c3_lProduct_5_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"94","The Total Money Makeover","A Proven Plan for Financial Fitness","Dave Ramsey","Dave Ramsey","3 hrs and 41 mins","11-07-03","English","4.5 out of 5 stars","35,797 ratings","$20.52","https://www.audible.com/pd/The-Total-Money-Makeover-Audiobook/B002UUKIR8?ref=a_adblbests_c3_lProduct_5_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"95","The Gifts of Imperfection, 10th Anniversary Edition","Features a New Foreword","Brené Brown","Brené Brown","4 hrs and 31 mins","09-08-20","English","5 out of 5 stars","1,168 ratings","$17.50","https://www.audible.com/pd/The-Gifts-of-Imperfection-10th-Anniversary-Edition-Audiobook/059321515X?ref=a_adblbests_c3_lProduct_5_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"96","Shuggie Bain",NA,"Douglas Stuart","Angus King","17 hrs and 30 mins","02-12-20","English","4.5 out of 5 stars","95 ratings","$34.99","https://www.audible.com/pd/Shuggie-Bain-Audiobook/1690564598?ref=a_adblbests_c3_lProduct_5_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"97","Extreme Rapid Weight Loss Hypnosis for Women","Natural & Rapid Weight Loss Journey. You'll Learn: Powerful Hypnosis | Psychology | Meditations | Motivation | Manifestation | Mini Habits | Mindful Eating","Michelle Guise","Main Studio, Stream Studio, Future Studio, Bit Studio, Alpha Studio, Light Studio, Zeis Studio","15 hrs and 6 mins","07-28-20","English","4.5 out of 5 stars","107 ratings","$24.95","https://www.audible.com/pd/Extreme-Rapid-Weight-Loss-Hypnosis-for-Women-Audiobook/B08DRS2Q49?ref=a_adblbests_c3_lProduct_5_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"98","The Tales of Beedle the Bard",NA,"J.K. Rowling","Warwick Davis, Noma Dumezweni, Jason Isaacs, Jude Law, Evanna Lynch, Sally Mortemore, Bonnie Wright","1 hr and 35 mins","03-31-20","English","4.5 out of 5 stars","15,308 ratings","$14.95","https://www.audible.com/pd/The-Tales-of-Beedle-the-Bard-Audiobook/1781103798?ref=a_adblbests_c3_lProduct_5_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"99","White Fragility","Why It's So Hard for White People to Talk About Racism","Robin DiAngelo, Michael Eric Dyson - foreword","Amy Landon","6 hrs and 21 mins","06-26-18","English","4.5 out of 5 stars","16,585 ratings","$28.00","https://www.audible.com/pd/White-Fragility-Audiobook/B07D6XN8RJ?ref=a_adblbests_c3_lProduct_5_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
"100","Burnout","The Secret to Unlocking the Stress Cycle","Emily Nagoski, Amelia Nagoski","Emily Nagoski, Amelia Nagoski","7 hrs and 1 min","03-26-19","English","4.5 out of 5 stars","1,052 ratings","$28.00","https://www.audible.com/pd/Burnout-Audiobook/B07M93FG5C?ref=a_adblbests_c3_lProduct_5_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=M900SPFD86JNSJJJG7GD"
