"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price","URL"
"61","Anxious People","A Novel","Fredrik Backman","Marin Ireland","9 hrs and 53 mins","09-08-20","English","4.5 out of 5 stars","4,270 ratings","$20.99","https://www.audible.com/pd/Anxious-People-Audiobook/1797105833?ref=a_adblbests_c3_lProduct_4_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=BPXFPFCK6FNP7W208HVM"
"62","The Last Wish",NA,"Andrzej Sapkowski","Peter Kenny","10 hrs and 17 mins","05-05-15","English","4.5 out of 5 stars","31,678 ratings","$25.08","https://www.audible.com/pd/The-Last-Wish-Audiobook/B00WX7Y0W2?ref=a_adblbests_c3_lProduct_4_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=BPXFPFCK6FNP7W208HVM"
"63","Dolly Parton, Songteller","My Life in Lyrics","Dolly Parton","Dolly Parton","5 hrs and 18 mins","11-17-20","English","5 out of 5 stars","163 ratings","$31.49","https://www.audible.com/pd/Dolly-Parton-Songteller-Audiobook/1980072159?ref=a_adblbests_c3_lProduct_4_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=BPXFPFCK6FNP7W208HVM"
"64","The Invisible Life of Addie LaRue",NA,"V. E. Schwab","Julia Whelan","17 hrs and 10 mins","10-06-20","English","4.5 out of 5 stars","2,878 ratings","$46.89","https://www.audible.com/pd/The-Invisible-Life-of-Addie-LaRue-Audiobook/125077795X?ref=a_adblbests_c3_lProduct_4_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=BPXFPFCK6FNP7W208HVM"
"65","The Happiness Hypothesis",NA,"Jonathan Haidt","Ryan Vincent Anderson","10 hrs and 18 mins","05-23-18","English","4.5 out of 5 stars","4,219 ratings","$28.50","https://www.audible.com/pd/The-Happiness-Hypothesis-Audiobook/B07D5HTRPZ?ref=a_adblbests_c3_lProduct_4_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=BPXFPFCK6FNP7W208HVM"
"66","True Betrayals",NA,"Nora Roberts","Rose Anne Shansky","14 hrs and 24 mins","08-04-08","English","4.5 out of 5 stars","2,063 ratings","$30.09","https://www.audible.com/pd/True-Betrayals-Audiobook/B002V082NE?ref=a_adblbests_c3_lProduct_4_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=BPXFPFCK6FNP7W208HVM"
"67","Never Split the Difference","Negotiating as if Your Life Depended on It","Chris Voss","Michael Kramer","8 hrs and 7 mins","05-17-16","English","5 out of 5 stars","46,669 ratings","$27.37","https://www.audible.com/pd/Never-Split-the-Difference-Audiobook/B01CF5O89G?ref=a_adblbests_c3_lProduct_4_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=BPXFPFCK6FNP7W208HVM"
"68","Basic Economics, Fifth Edition","A Common Sense Guide to the Economy","Thomas Sowell","Tom Weiner","23 hrs and 47 mins","12-02-14","English","5 out of 5 stars","3,049 ratings","$38.46","https://www.audible.com/pd/Basic-Economics-Fifth-Edition-Audiobook/B00PKSGTPW?ref=a_adblbests_c3_lProduct_4_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=BPXFPFCK6FNP7W208HVM"
"69","The Life-Changing Magic of Tidying Up","The Japanese Art of Decluttering and Organizing","Marie Kondo","Emily Woo Zeller","4 hrs and 50 mins","01-06-15","English","4.5 out of 5 stars","29,623 ratings","$25.19","https://www.audible.com/pd/The-Life-Changing-Magic-of-Tidying-Up-Audiobook/B00RC3M6OG?ref=a_adblbests_c3_lProduct_4_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=BPXFPFCK6FNP7W208HVM"
"70","Born a Crime","Stories from a South African Childhood","Trevor Noah","Trevor Noah","8 hrs and 44 mins","11-15-16","English","5 out of 5 stars","172,448 ratings","$24.95","https://www.audible.com/pd/Born-a-Crime-Audiobook/B01IW9TQPK?ref=a_adblbests_c3_lProduct_4_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=BPXFPFCK6FNP7W208HVM"
"71","The Best of Me",NA,"David Sedaris","David Sedaris","13 hrs and 8 mins","11-03-20","English","4.5 out of 5 stars","358 ratings","$30.79","https://www.audible.com/pd/The-Best-of-Me-Audiobook/1549160761?ref=a_adblbests_c3_lProduct_4_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=BPXFPFCK6FNP7W208HVM"
"72","How to Win Friends & Influence People",NA,"Dale Carnegie","Andrew MacMillan","7 hrs and 15 mins","09-16-04","English","4.5 out of 5 stars","78,734 ratings","$31.93","https://www.audible.com/pd/How-to-Win-Friends-Influence-People-Audiobook/B002V5BV96?ref=a_adblbests_c3_lProduct_4_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=BPXFPFCK6FNP7W208HVM"
"73","The Sentinel","Jack Reacher, Book 25","Lee Child, Andrew Child","Scott Brick","10 hrs and 39 mins","10-27-20","English","4.5 out of 5 stars","3,948 ratings","$31.50","https://www.audible.com/pd/The-Sentinel-Audiobook/059333972X?ref=a_adblbests_c3_lProduct_4_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=BPXFPFCK6FNP7W208HVM"
"74","Jane Eyre",NA,"Charlotte Bronte","Thandie Newton","19 hrs and 10 mins","04-17-16","English","5 out of 5 stars","9,603 ratings","$39.95","https://www.audible.com/pd/Jane-Eyre-Audiobook/B01COOZ5C2?ref=a_adblbests_c3_lProduct_4_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=BPXFPFCK6FNP7W208HVM"
